Reaction,Old_subsystem,New_subsystem,Method
OCTDECCACT,Unassigned,Fatty acid oxidation,Database-curated (BiGG/KEGG)
OCTDECCPT1,Unassigned,Fatty acid oxidation,Database-curated (BiGG/KEGG)
OCTDECCPT2,Unassigned,Fatty acid oxidation,Database-curated (BiGG/KEGG)
SUBERCACT,Unassigned,Fatty acid oxidation,Database-curated (BiGG/KEGG)
C2tcx,Unassigned,Fatty acid oxidation,Database-curated (BiGG/KEGG)
FAOXC101C8m,Unassigned,Fatty acid oxidation,Database-curated (BiGG/KEGG)
r0068,Unassigned,Pyruvate metabolism,Database-curated (BiGG/KEGG)
r0097,Unassigned,Pyruvate metabolism,Database-curated (BiGG/KEGG)
r0383,Unassigned,Pyruvate metabolism,Database-curated (BiGG/KEGG)
r0555,Unassigned,Pyruvate metabolism,Database-curated (BiGG/KEGG)
r0196,Unassigned,Porphyrin and chlorophyll metabolism,Database-curated (BiGG/KEGG)
r0517,Unassigned,Porphyrin and chlorophyll metabolism,Database-curated (BiGG/KEGG)
r0392,Unassigned,Glycerolipid metabolism,Database-curated (BiGG/KEGG)
r0393,Unassigned,Glycerolipid metabolism,Database-curated (BiGG/KEGG)
r1418,Unassigned,Nitrogen metabolism,Database-curated (BiGG/KEGG)
r0510,Unassigned,Fatty acid synthesis,Gene-based inference (majority vote)
r1135,Unassigned,Steroid metabolism,Gene-based inference (majority vote)
r0082,Unassigned,Citric acid cycle,Gene-based inference (majority vote)
r0084,Unassigned,Citric acid cycle,Gene-based inference (majority vote)
r0422,Unassigned,Citric acid cycle,Gene-based inference (majority vote)
r0423,Unassigned,Citric acid cycle,Gene-based inference (majority vote)
r0424,Unassigned,Citric acid cycle,Gene-based inference (majority vote)
r0511,Unassigned,Fatty acid synthesis,Gene-based inference (majority vote)
r0546,Unassigned,Tyrosine metabolism,Gene-based inference (majority vote)
r0548,Unassigned,Tyrosine metabolism,Gene-based inference (majority vote)
r0668,Unassigned,Aminosugar metabolism,Gene-based inference (majority vote)
r0683,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
r0716,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
r0752,Unassigned,Tyrosine metabolism,Gene-based inference (majority vote)
r0753,Unassigned,Tyrosine metabolism,Gene-based inference (majority vote)
r0754,Unassigned,Tyrosine metabolism,Gene-based inference (majority vote)
r0755,Unassigned,Tyrosine metabolism,Gene-based inference (majority vote)
r0756,Unassigned,Tyrosine metabolism,Gene-based inference (majority vote)
r0757,Unassigned,Tyrosine metabolism,Gene-based inference (majority vote)
r0775,Unassigned,Tetrahydrobiopterin metabolism,Gene-based inference (majority vote)
r1164,Unassigned,Cholesterol metabolism,Gene-based inference (majority vote)
r1165,Unassigned,Cholesterol metabolism,Gene-based inference (majority vote)
r1166,Unassigned,Cholesterol metabolism,Gene-based inference (majority vote)
r1167,Unassigned,Cholesterol metabolism,Gene-based inference (majority vote)
r1168,Unassigned,Cholesterol metabolism,Gene-based inference (majority vote)
r1169,Unassigned,Cholesterol metabolism,Gene-based inference (majority vote)
r1170,Unassigned,Cholesterol metabolism,Gene-based inference (majority vote)
r1171,Unassigned,Cholesterol metabolism,Gene-based inference (majority vote)
r1185,Unassigned,Triacylglycerol synthesis,Gene-based inference (majority vote)
r1186,Unassigned,Triacylglycerol synthesis,Gene-based inference (majority vote)
r1187,Unassigned,Triacylglycerol synthesis,Gene-based inference (majority vote)
r1188,Unassigned,Triacylglycerol synthesis,Gene-based inference (majority vote)
r1189,Unassigned,Triacylglycerol synthesis,Gene-based inference (majority vote)
r1190,Unassigned,Triacylglycerol synthesis,Gene-based inference (majority vote)
r1431,Unassigned,Nucleotide interconversion,Gene-based inference (majority vote)
r1432,Unassigned,Nucleotide interconversion,Gene-based inference (majority vote)
r1446,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC16OHC16r,Unassigned,Eicosanoid metabolism,Gene-based inference (majority vote)
FAOXC24C22x,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
LGNCCOAtcx,Unassigned,"Transport, peroxisomal",Gene-based inference (majority vote)
34DHPHELAT1tc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
4OHPROIMINOtc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
ALAALACNc,Unassigned,beta-Alanine metabolism,Gene-based inference (majority vote)
ALAATB0tc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
ALAyLATthc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
ARGATB0tc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
ASCBSVCTtc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
ASNATB0tc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
C100CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C101CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C102CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C10DCc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C10DCCACT,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C10OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C120CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C121CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C12OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C141CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C141OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C142CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C142OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C14OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C161OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C162OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C16DCc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C16OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C16txc,Unassigned,"Transport, peroxisomal",Gene-based inference (majority vote)
C181OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C182OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C18OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C30CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C40CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C4CRNCPT2,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C4DCCACT,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C4OHc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C4tcx,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C4tmc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C50CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C51CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C60CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C6CRNtcx,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C6DCc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C6DCCACT,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C81CPT1,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C8DCc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
C9BRxtc,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
CYSATB0tc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
CYSSNAT5tc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
CYSTALArBATtc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
CYSTLEUrBATtc,Unassigned,"Transport, extracellular",Gene-based inference (majority vote)
DCSPTN1COAtxc,Unassigned,"Transport, peroxisomal",Gene-based inference (majority vote)
DOCO13ECOAtxc,Unassigned,"Transport, peroxisomal",Gene-based inference (majority vote)
DOCOSACT,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
DOCOSCOAtxc,Unassigned,"Transport, peroxisomal",Gene-based inference (majority vote)
FAOXC101C102x,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC101C8x,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC101x,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC102C103m,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC102C103x,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC102C81m,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC102C81x,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC102m,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC102x,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC10C10OHm,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC10C8m,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC10C8x,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC10DCC8DCx,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC11BRC9BRx,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC11C9m,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
FAOXC121C101m,Unassigned,Fatty acid oxidation,Gene-based inference (majority vote)
