,GSM997636,GSM997637,GSM997638,GSM997639,GSM997640,GSM997641,GSM997642,GSM997643,GSM997644,GSM997645,GSM997646,GSM997647,GSM997648,GSM997649,GSM997650,GSM997651,GSM997652,GSM997653,GSM997654,GSM997655,GSM997656,GSM997657,GSM997658,GSM997659,GSM997660,GSM997661,GSM997662,GSM997663,GSM997664,GSM997665,GSM997666,GSM997667
8813,10.02907776,9.867194777,9.780056201,7.877459353,9.643751525,9.321725328,10.60859943,10.51567596,10.65036858,9.573947107999999,10.25556189,10.37664445,11.58213036,9.351142445,11.12490857,10.51733913,12.04331344,8.927003857,10.61594823,9.571881662000001,9.899593398,9.830387893,9.948938903,9.433738764,11.00503256,10.48153687,10.19336868,8.76398826,10.73419953,8.642965192,9.791527768,9.589708321
2519,6.651003781,7.1994378260000005,7.433804264,6.929801997,7.608163866,6.243085035,6.57610816,6.637358308,6.672119557,7.573181969,6.6757267570000005,6.619533633,7.537584354,6.275044254,5.996877992000001,6.752987805,7.588211378,6.762791335,7.135198226,5.506934731,6.679586106,6.485965722,6.330062246000001,6.516506086000001,7.048519541,7.905724281,6.628125869,6.184154413,6.311267158,5.5409414660000005,6.780054063,5.962020129
2729,7.295562339,7.11970707,7.210775234,3.734237675,7.073298102000001,6.303703867,7.712971075,7.530887557000001,7.444558014,7.98842755,6.855602405,7.126989537999999,6.948387587000001,6.763908152999999,6.606681857000001,6.998267702000001,9.137334677,6.994151317999999,6.969725172,6.209080017000001,7.509286262000001,7.022036103,7.891782677,6.548358212999999,7.6030439770000005,7.510876426,6.833797693999999,5.218661763,7.890871077000001,5.244032914,6.640704863,6.648944617000001
51056,11.15754606,8.758288902,7.157459066,5.4251969639999995,8.888780466,7.82846879,9.495517888,8.057787253999999,8.705293843,9.022985135,9.479121852,9.36351915,9.089133651000001,6.833621997000001,9.980526159,9.31666012,7.95187237,7.647184949,7.804508582,9.336673913,6.99859894,8.650556086,8.984575854,9.144693051,7.9993922710000005,10.51331692,8.043316605,6.879829315,9.19300055,8.279466495,7.965423088,7.651014475
9957,4.2479717269999995,4.521476294,4.749575078,3.789737573,4.953175891,3.962902461,4.164924075,3.602704244,4.077916278,4.370183255,4.8604062589999995,4.361606716,5.257660434,4.207589853,4.795377175,4.095011818,4.236385879,4.819590606,3.9339253419999998,4.449082025,4.494935293,5.11189384,4.593485497,4.30320101,4.301032028,7.869808956,4.289433995,4.148958497,4.191848253,5.035569282,4.3152433519999995,4.583781889
26,4.744769415,4.924441892,4.644162716,5.203689358,4.8279503539999995,6.162159045,4.784808933,5.576429015,5.340278484,7.677178978,4.904766695,4.778445828,4.927734785,4.651033016,4.915157246000001,5.994289281,4.867670686,5.296771451000001,6.810077884,4.487572047,4.709799519,4.927229498,6.226402267999999,5.935446852,4.987928749,4.731616862,6.678550701,7.2790902939999995,5.488700028999999,5.494298892000001,4.590689768,4.672419316
6542,8.071706653,7.190544565,7.096563526000001,5.644014425,4.547309546,6.016746184,9.092989801,6.201976748,6.4732232220000006,5.786099516,5.611933746,5.8009992829999995,11.11734101,6.962172876,8.064266121000001,5.11687935,6.214275195,11.00507208,7.244796204,8.099607261000001,9.116978999999999,10.34842592,6.516712571,7.57788764,7.93633383,7.8786600589999995,5.1390324960000004,6.433848304,9.133332428,7.465728045,6.4620126870000005,5.413220792000001
204,7.108550826,6.54506886,7.423140765,5.733212224,7.926334431,7.0494345,6.534427504,6.296223691000001,7.08900242,7.323135443,6.449745388999999,7.47731994,6.097616519,5.320396393,8.035166396000001,6.599448436,6.002872431,6.461081094,6.663472755,7.0151116479999995,7.009755144,6.528712013,6.926504787000001,6.265904468,6.431494754,6.965944943999999,6.399345092000001,5.708857862,5.954025466,5.5577861660000005,7.060085647999999,6.93144284
952,7.108742588999999,5.717996656,5.504664443999999,6.7505502260000005,6.190847776,5.497365441,6.098644281,5.734679646,6.709549107000001,6.600817012,6.123652462000001,5.9578987439999995,6.149181625,5.53474887,6.371636815,6.12670167,6.004387947000001,6.054674006,5.862399526,6.157187757000001,5.801952774,5.903274628999999,6.332333333999999,6.42769831,5.5773391310000004,6.391744537,5.736328776000001,5.7221086329999995,5.628427991000001,6.687818984,5.719773109,5.927724296
4706,9.940274797999999,10.05548269,10.48261423,8.753589666,10.56190558,9.665329609,11.37549991,10.61761855,10.89366886,10.33437415,10.28013036,10.46127312,10.10935218,9.134214554,11.02242487,10.65776032,10.36871824,9.061226502,10.17407793,9.957022181000001,9.266360072000001,9.294063885,9.667842002999999,9.699489327,9.900657293,11.18620103,9.947408229,9.388008161,10.19535662,9.808239424,9.2179233,9.939153317
10165,6.189246348999999,7.668146137000001,8.385752387,3.7737806660000004,8.14704965,7.400922828,6.879500208,7.3104617979999995,6.75597621,7.271374893,6.958253578,7.900977874,7.79938763,7.432377195,7.490782686,8.261515349,9.180974365,6.517668431000001,7.567172917000001,6.98780499,7.731477242,7.186557132999999,7.357927485,6.079481747999999,8.534332631,8.33196736,7.232696877,7.143582417,7.419247373999999,7.356710285,7.019787673,6.6818695
6521,5.986725298,6.259069202,6.482609526,6.407237606,6.420604941000001,6.290934234,6.054341777,6.153346849,6.15663034,6.852289647999999,6.0883069789999995,6.2858341079999995,5.950571987999999,6.251928096,6.19690061,6.281638575,6.163416377999999,6.415985117000001,6.551634012,6.490704751,6.161510857000001,6.212233808,5.967413351,6.650639268,6.382974626,6.123762451,6.077574604,6.375902306,6.392434755,5.83767631,6.665984308,6.083584356
292,10.5541587,10.20139747,10.69617423,7.757108886,10.70123886,10.04531309,11.84281826,11.34610245,12.05241228,11.462638499999999,10.34369821,11.20795629,12.29438433,8.554014847000001,12.03221607,11.34766827,11.11798835,10.15940347,10.50169135,9.970736523,9.290866165,9.914454267,10.26584835,10.96982851,10.51704611,12.16857994,10.56133274,9.818186795,10.5674826,11.1734205,10.17039931,10.24428831
4353,4.322316228,4.485126072,4.15130567,4.249252678,4.322413461,4.088112477,4.145281483,4.360473605,4.287886799,4.143000521,4.329626931,4.099150473,3.837486021,4.360153983,3.994882617,4.1174172769999995,4.1618286819999994,4.306470707,4.201949404,4.559884572,4.097069807,4.100010371000001,4.438031637,4.028366193,4.216260365,4.333041644,4.121786837,4.245002704,4.2738573419999994,4.223522823,4.174394803,4.394387431
54677,7.336461127000001,6.900051662,8.737699713,8.542265873,6.751001541,7.50305437,7.086916995,6.394367771000001,6.949031752000001,6.4632503429999995,6.934762875,7.982576171,7.621406584,7.441919555,7.574051337999999,6.515691696,7.698119189,7.735409971,7.860567497000001,6.072170947999999,7.495226914,7.575946365,7.498441883,6.9328972879999995,7.4486152379999995,7.5916512670000005,6.84456681,6.164857199,7.174975957000001,7.565736482,6.704319691,6.524144842
5244,4.992746819,5.015738367,4.875427782,5.406820082,4.638886988,4.859533583999999,4.898946855,4.882677429,4.641783332,4.627271385,4.625433033999999,4.64704454,4.777706848999999,5.619260262999999,4.8652114939999995,4.825979397,4.871999307,4.928828558999999,4.863152126,4.489894233,5.075065851000001,4.8694964480000005,5.059118443,4.874138759,4.82693853,4.480889415,4.924541139,5.282920582,4.816160439,5.823630001000001,4.901424036,4.775568338999999
