,GSM997630,GSM997631,GSM997632,GSM997633,GSM997634,GSM997635
8813,10.49169983,11.02574786,11.0376581,10.78972805,11.21885242,10.32307253
2519,7.831390795,7.436676353999999,7.657659719,7.303835362999999,8.175085629,7.653909929
2729,7.462512016,8.032787337,8.453520317,8.49006321,8.995621341,7.747389476
51056,10.36841493,10.08542566,10.49896841,10.22889856,10.24140602,8.94366937
9957,5.659970885,7.902729831,6.566200415,6.221482685,6.681213099999999,7.821904207
26,4.07695201,3.919761143,3.754902547,4.028859523,4.156404888,4.074101262
6542,8.825465711,9.73924667,10.06034771,9.845367865,8.874214561,8.444310436
204,7.788664,7.519926912000001,7.191050386000001,7.608601567000001,8.321892356000001,7.401321969
952,6.169360221,5.292430104,5.662892925,5.489969907000001,5.880307755,5.2713829510000005
4706,10.54445457,10.60394606,10.87824903,10.54985733,10.72910747,10.78059528
10165,6.995303027,7.563788066,7.2237858720000006,7.539273716,7.890215154,7.595597705
6521,6.260575256,6.142116392999999,6.896746178,6.3060036020000005,5.86510565,6.218402466000001
292,11.42979655,11.38695998,11.73919636,11.23531505,11.72854067,11.37123897
4353,3.998558509,4.076104247,3.959413292,4.2198310039999996,3.990255807,3.973370581
54677,8.055570901,8.754049944,8.529566529,8.89339233,8.516296706,8.620962647999999
5244,4.679533537,4.827571788,4.75195454,4.541633823,4.243908664,4.74262457
6833,4.940190525,4.404198678999999,4.630622848,4.6413350289999995,4.642961552,5.322247773
221,6.870545046,6.351331645,6.550605495,6.4789293610000005,6.243278012,6.189058039
79017,9.679017907999999,9.964023402999999,10.19367676,10.35542829,10.73415694,9.666294805
8228,8.277880925,8.488825619,8.865829355,8.815272865,8.580145117,8.515946162
151531,3.97752438,3.5265104710000004,3.843798327,3.782526008,3.705173595,4.082650161
5048,9.223767776,9.88528085,9.73659778,9.387407486,9.502179734,9.326204034
4843,4.072525715,3.821919677,3.974904783,3.804919361,3.904837024,4.284501985
9058,5.051783114,5.1799289019999994,5.007999989,5.0830712060000005,5.244199141,5.165038643
8277,4.798499263,4.001367786,4.385109989,4.433860293,4.122879812,4.232219682
9091,4.9275491769999995,4.304643371,4.803895661,4.754548156,4.659006478,4.755107057
65220,8.699436406,8.619689057999999,8.640786184,8.185860787000001,7.86806467,7.692932541
10157,4.907651389,5.206027034,5.488471858,6.118003812,4.9774098019999995,4.907620393999999
6482,7.539597907,7.59072923,7.689406813,8.309727743,8.270892836,8.139561899
7384,10.23693687,10.39418345,10.49493922,10.19160808,10.96723209,10.43612507
6540,5.703884787000001,4.674639278,4.786396872,5.318714916,4.893688541,5.487344731
3423,5.8200256260000005,5.797199727000001,5.961954707,5.545274902999999,5.404549286,5.870720177999999
6534,5.2495834839999995,5.150476301,5.169954951,4.956906311,4.977060077,5.211717636
5286,8.326801434,9.085447235,9.410266498,8.857373922,8.366629033999999,7.900314176
2137,6.377627577,6.3890797820000005,6.56461277,6.719178769,6.719513468,6.853150743
60481,10.88558744,10.88098455,11.13095459,11.1699509,11.33351682,10.49510116
240,10.95730767,8.992671352,10.12710623,8.186841812,8.274387886,6.4858053
5238,7.777179387,7.824370237,7.751939999,8.29907425,7.5013764510000005,6.853206832000001
112611,6.339331316,6.3901746820000005,6.16656329,6.309682915,6.416694359,5.87006897
55,5.788956562,8.368467234,6.743705595,7.933202797000001,7.511755191000001,10.176813300000001
4190,11.50960963,11.55780262,11.75742723,11.5846064,11.87173771,11.48813779
1800,5.232994946,5.278858462,5.339619328,5.080284772,5.673283661,5.015213255
29881,5.6193900029999995,4.818719586,5.256390373,5.0559563569999995,5.237186658,5.373747519
64132,5.81942808,6.305765114,6.01494946,5.923792312000001,5.791805752999999,6.079511246
55349,7.4574726170000005,7.510548063,7.216803049,7.733722019,7.264880916,7.4970593029999995
92745,4.963490107,5.048782443,5.655859542000001,5.178515948,5.23040485,5.1260536089999995
6556,5.632404407999999,4.876571673,6.034584933,5.115605222,5.2474078760000005,5.1642029030000005
8540,8.292452539,8.017506087000001,8.051089631,7.788575237000001,8.256940856,7.559954052
477,4.547040735,4.332077792,4.122669521000001,4.5124791339999994,4.453306783,4.20727243
1591,2.630918722,2.48807769,2.5846012330000003,2.553884525,2.715985409,2.730347871
64816,4.189932811,4.076104247,4.557176758,4.117980959,4.2112555810000005,4.4467905619999994
11136,5.25425153,5.0190419230000005,5.306634394,5.254563098,4.931128125,5.303465658
1373,5.370068203,5.89535617,5.732264945,5.636429418,5.729610413,6.12376857
4719,7.636641452999999,7.553213477999999,6.96590226,7.018292151,6.992132982999999,6.855216375
211,7.782221259,7.292877592999999,7.418186557,7.184425546,8.033267201000001,7.516803009
51022,7.598976648,7.238299757999999,7.060514399,7.151598555,7.923872834,6.93731935
51071,9.615620048,9.622897924,9.825435918,9.310202392999999,10.24122281,9.286882400000001
1244,3.535155185,3.213965022,3.3663254819999997,3.1652825439999996,3.2323319689999996,3.423582112
1890,4.651787852,4.199763591,4.580712871,4.1883434269999995,4.2496776480000005,3.831913153
56895,5.505812447,5.347084048,5.365113244,5.601973561,6.047667781,5.759202393
11285,6.3395192179999995,6.591913566000001,6.365160062,6.567456355,6.652300037000001,6.960897326
56052,4.277680203,4.939651706,4.164379431,4.60463726,4.711815215,5.035735595
2530,5.275057482,5.455926928999999,4.552524493,5.2720827980000005,5.7708927370000005,5.340367829
535,7.782325462,7.475705936000001,7.97443656,7.835443102999999,8.067573188999999,7.942187915
9497,6.494073271,7.093988195,6.3750767129999995,6.264909985,6.6084488,6.4131292570000005
159,7.740397292000001,8.104724354,8.350279127,7.969430526,8.418618872,7.674432196000001
5009,3.157227705,3.294603983,3.0124507719999998,3.360929682,2.9548147510000002,3.184789442
10858,5.521454297999999,6.006051082999999,5.789990625,5.759579917000001,4.857219284,5.66319884
6570,3.2932920660000002,2.905808675,3.048192053,3.264100703,3.442355325,3.650418314
175,8.545806672000001,8.566176464,8.462558007,8.793348631,9.549965593,8.370567956
27430,11.22141526,11.49737336,11.30150902,11.02806558,11.45860216,11.07340294
3631,8.349734568999999,9.031785147,8.915030616000001,8.44514655,8.477513122000001,8.003724594
56474,7.649334429,8.084998811,8.059280884,7.623133022,7.3700619970000005,7.964376268
51606,9.190751888,9.485611445,9.133162453999999,9.317751477,9.873415399,9.261106314
1356,3.399200413,5.587498661000001,4.587558751,3.8754063939999996,3.7313603630000003,5.188810009
50484,8.606116387,9.307259186,9.291862555,8.668947672,9.111161057,8.625640193999999
2978,5.159951609,4.633647796,4.975633392,5.101586744,4.615064852,5.2431847760000005
9563,8.588081407,8.570259171,8.226921325,9.410214668,9.475712146000001,8.833473296000001
3074,10.81491365,10.76412987,10.78963415,10.41406324,10.88291689,10.59177976
51528,10.06279796,10.010812,10.31625703,10.39134789,9.96552812,9.70789077
9498,6.772282028999999,6.983708957,6.009220316,6.995370456,6.966165035,7.6035782460000005
5291,8.600350394,8.903208029,9.164571772,8.204230716,8.800419428,8.553972214
6307,8.811402203,9.641211009,9.203827973,10.55081686,9.827454549,8.887073387000001
8574,7.484140597000001,7.706739977000001,7.620993016,8.014872412999999,8.532485426000001,8.588672356
954,4.907651389,4.739887113,4.969482451,4.84315195,4.828784924,4.715712674
2581,9.754616659,10.0031149,9.64695629,9.508995069,9.704894362000001,10.32556966
58508,9.672029306,10.47044719,9.354098639,9.38641,9.64972322,9.30973898
8908,5.472097463,5.02146703,5.165196875,5.583342953,4.8630769019999995,5.477115857
6646,8.463397717000001,8.697363703999999,8.319168154,8.103004406,8.126904002,8.014780792
493,9.476677357,9.613890729,9.57678815,9.411006815,9.473689327999999,9.053800485
1608,3.707414753,3.760522869,3.8840610860000004,3.995423527,4.0240245880000005,3.624049238
6916,5.452057578,4.845767666,5.1121468310000004,4.8583914230000005,5.411297127999999,4.373678113
5832,8.053060078,8.648205992000001,8.082110528,8.502985966,9.076806495,8.369371804
6515,8.192105848999999,7.461185085,7.813868048,8.092259176,8.834270969,7.182177585
55650,7.4817826179999996,7.78965713,8.117092875,7.513165484,7.559848925,7.931876308
30,8.444902135,8.458203109,8.323457889,8.391885141,8.593095195,8.469625431
586,10.17740275,9.72390511,10.83117706,10.39456434,10.42857636,8.877842767
2983,5.92691057,6.521463224,6.447251525,6.206546697,6.454961543,5.6967058260000005
84649,6.143264492,5.88371646,6.144706897000001,6.3657188179999995,6.126507282,6.115321821
56848,5.4631575660000005,5.2775457480000005,5.720091126,5.799343161,5.522310999,5.981329466
8776,9.300784709,9.51234556,9.702266809,9.100890012,9.639648121,9.142606754
3029,7.25266459,7.1004239039999995,7.908316514,7.087675202000001,7.144943597,7.324147196
