,TCGA-E1-5319,TCGA-CS-6668,TCGA-IK-7675
ENST00000341426,2.15,2.65,8.67
ENST00000590618,0,0.08,0.14
ENST00000590619,0,0.56,0.07
ENST00000296684,37.51,42.64,27.1
ENST00000372616,0.34,1.39,1.05
ENST00000534083,0.6,1.16,1.94
ENST00000576453,0,0,0
ENST00000576450,0.37,0.06,0.6
ENST00000589835,0,0,0
ENST00000354829,0,0.01,0.01
ENST00000447302,0,0,0.25
ENST00000299697,1.77,2.14,1.47
ENST00000220764,62.72,40.87,30.47
ENST00000295463,0,0,0
ENST00000430289,0,0,0.05
ENST00000587384,0,0,0.02
ENST00000544913,0.02,0,0.17
ENST00000576983,0,0,0.43
ENST00000576984,0.22,0.31,0.46
ENST00000523957,0.32,0.15,0.19
ENST00000523953,0.01,0.01,0.02
ENST00000598022,0,0,0
ENST00000411990,0,0.03,0.11
ENST00000522394,0,0,0
ENST00000360608,0.36,2.32,1.67
ENST00000460921,0,0,0
ENST00000426081,0,0,0
ENST00000264047,0.01,0,0
ENST00000593032,2.4,2.95,1.72
ENST00000443147,0.18,0.27,0.39
ENST00000560044,7.53,5.71,11.65
ENST00000556460,0,0,0
ENST00000565039,0,0.11,0.1
ENST00000375341,3.72,0.6,2.46
ENST00000569630,0,0,0
ENST00000559580,0,0.12,0
ENST00000375345,0,0,0
ENST00000559584,0,0,0
ENST00000454769,0.23,0.32,0.16
ENST00000335288,0,0.02,0.07
ENST00000537477,0,0,0
ENST00000509987,0,0,0
ENST00000579847,56.27,26.7,42.77
ENST00000541372,0.48,0.13,0.42
ENST00000559729,0.13,0.06,0.29
ENST00000403710,3.23,5.64,4.22
ENST00000492918,0.82,0.78,0.63
ENST00000437509,0.64,0.46,2.5
ENST00000549260,12.31,25.46,3.04
ENST00000431959,0.07,0,0
ENST00000547066,1.05,2.6,1.99
ENST00000437502,0,0,0.27
ENST00000437503,0.05,0,0
ENST00000458621,0.04,0.09,0.12
ENST00000488172,0,0,0
ENST00000588176,0,0,0
ENST00000488170,0.67,0.14,0.19
ENST00000307144,0.01,0.01,0.01
ENST00000528936,0.08,0,0
ENST00000541080,0,0,0
ENST00000588179,0.62,0,0
ENST00000413592,0.26,0.07,0.13
ENST00000523044,0,0,0
ENST00000533824,0,0,0
ENST00000436630,0.8,1.98,1.72
ENST00000592342,0,0,0.06
ENST00000539458,0,0,0
ENST00000477574,0.34,0,0.24
ENST00000419502,0.09,0.04,0
ENST00000532484,0,0,0
ENST00000458098,0,0.02,0
ENST00000595969,0.07,0,0.28
ENST00000415431,0,0,0
ENST00000537307,4.28,2.68,2.91
ENST00000458092,0.05,0.41,0.51
ENST00000275230,1.65,0.24,2.18
ENST00000396213,0.09,0.56,0.29
ENST00000396215,0,0,0
ENST00000392779,0,0,0
ENST00000573778,0,0.05,0
ENST00000265838,47.21,46,53.24
ENST00000371447,0.13,0.18,0.09
ENST00000397296,0,0,0
ENST00000409540,0.66,0.94,0.39
ENST00000543831,0,0.05,0.08
ENST00000445895,11.29,1.4,3.97
ENST00000392518,1.61,2.22,1.99
ENST00000552965,0.18,0.27,0.23
ENST00000235835,24.06,18.14,35.93
ENST00000491621,0,0,0
ENST00000566113,0.72,0,0.11
ENST00000566110,0,0,0.09
ENST00000491335,5.4,6.17,7.66
ENST00000566115,9.11,8.01,9.95
ENST00000359033,0.21,0.08,0.64
ENST00000507917,4.63,4.81,4.92
ENST00000550113,0,0,0.13
ENST00000540564,2.47,1.06,4.65
ENST00000595343,0.04,0,0.03
ENST00000555723,0.07,0.07,0
ENST00000439817,3.88,8.03,2.64
ENST00000377698,9.21,10.42,8.94
ENST00000449406,0,0,0
ENST00000446122,0.06,0.6,0.22
ENST00000446125,0,0,0.03
ENST00000312352,1.32,2.71,3.76
ENST00000421680,0,0,0
ENST00000026218,5.72,4.15,6.94
ENST00000519829,0.04,0,0
ENST00000316273,3.02,1.63,5.52
ENST00000435819,0.16,0.31,0.31
ENST00000441796,0.62,0.72,0.18
ENST00000555911,0,0,0
ENST00000502986,0,0.03,0
ENST00000379152,0.09,0.29,0.61
ENST00000373365,77.95,62.22,79.23
ENST00000527723,0.07,0,0
ENST00000325110,27.95,38.31,36.29
ENST00000428458,0.42,0.99,0.46
ENST00000382201,0,0,0
ENST00000421535,0,0.33,0.1
ENST00000416858,1.15,1.2,3.19
ENST00000594761,0.43,0.96,0.32
ENST00000402629,0,0,0
ENST00000395562,0,0,0
ENST00000395560,1.74,1.18,2.8
ENST00000395564,1.5,0.43,1.37
ENST00000311337,18.58,15.39,15.68
ENST00000590445,0.22,0.5,0.28
ENST00000590447,0.35,0.56,0.26
ENST00000465492,0.11,0.17,0.14
ENST00000495834,0.15,0.51,0.66
ENST00000567247,0.03,0.05,0.15
ENST00000234301,53.35,36.19,51.13
ENST00000477932,0,0,0.13
ENST00000401827,2.45,4.61,5.53
ENST00000541966,0,0,0
ENST00000349048,46.36,44.32,48.92
ENST00000594587,0.18,0.73,0.73
ENST00000323372,5.75,4.89,6.43
ENST00000454954,0.39,0,0.19
ENST00000397356,0.17,0.12,0.17
ENST00000586244,0.16,0.27,0.56
ENST00000479604,0,0,0
ENST00000405011,0,0,0
ENST00000502575,0.62,0,0.19
ENST00000380984,0,0,0
ENST00000418034,0.24,0.38,0.52
ENST00000255082,0.04,0.04,1.4
ENST00000522940,0.4,0.6,1.65
ENST00000522949,0,0,0
ENST00000480978,0.18,0.08,0
ENST00000559910,1.6,0.43,0
ENST00000552024,0,0,0.02
ENST00000380183,4.29,0.66,0.59
ENST00000262915,0,0,0
ENST00000368969,1.18,1.77,0.76
ENST00000265586,0.02,0,0
ENST00000431016,1.4,0.9,0.9
ENST00000371205,0.26,0.01,1.23
ENST00000380649,97.73,75.65,68.24
ENST00000486690,0,0,0
ENST00000528164,65.61,47.63,80.12
ENST00000522491,1.07,2.94,1.18
ENST00000525440,0,0,0.38
ENST00000522495,0.06,0,0
ENST00000410107,0.07,0.39,0.12
ENST00000464364,0.2,0.06,0
ENST00000342741,0,0.03,0
ENST00000588328,0,0,0.08
ENST00000561038,2.25,2.94,3.8
ENST00000414754,0,0,0
ENST00000390664,0.68,0.28,0.27
ENST00000411502,0,0,0
ENST00000380328,0.09,0.13,0.27
ENST00000561031,0,0,0
ENST00000421993,0,0,0.05
ENST00000561035,0.11,0.28,0.31
ENST00000265052,5.62,4.17,2.17
ENST00000529414,0,0,0
ENST00000550888,0,0,0
ENST00000420173,0,0,0
ENST00000498232,0,0.03,0.05
ENST00000498234,0,0.05,0.09
ENST00000498237,1.64,1.86,1.63
ENST00000242592,4.12,4.34,1.64
ENST00000451850,0.33,0,0.06
ENST00000343164,2.43,1.19,0.17
ENST00000405901,0,0,0
ENST00000547477,0,0,0
ENST00000508116,0,0,0
ENST00000339732,54.61,15.39,67.92
ENST00000339733,0.35,0.17,0.14
ENST00000507139,0.2,0.34,0.14
ENST00000453724,0,0.31,0.66
ENST00000302819,2.18,0.81,1.92
ENST00000579479,0,0.13,0
ENST00000556879,0,0,0
ENST00000395499,0.85,0.71,2.6
ENST00000370551,0.68,0.41,0.45
ENST00000370550,4.23,5.79,14.68
ENST00000369552,11.2,15.5,14.49
ENST00000569798,59.66,21.55,36.33
ENST00000369557,0,0,0
ENST00000369556,0.51,0.94,0.83
ENST00000422973,0,0,0
ENST00000580718,0.84,1.69,0.7
ENST00000334363,0.85,1.49,0.84
ENST00000474923,0,0,0
ENST00000474927,0,0.06,0.06
ENST00000555116,0.08,0,1.32
ENST00000261755,4.77,0.74,2.54
ENST00000269582,0.44,0.08,0.09
ENST00000403363,2.57,0.6,2.69
ENST00000327451,63.39,22.56,13.31
ENST00000577903,0,0,0
ENST00000569576,0,0,0
ENST00000526800,0,0,0
ENST00000404393,4.79,5.73,10.08
ENST00000370658,0.08,0.21,0.13
ENST00000398665,2.77,7.42,6.45
ENST00000373115,15.12,32.31,13.64
ENST00000402369,4.27,1.9,2.04
ENST00000412363,0,0,0
ENST00000549164,0.12,0.25,0.23
ENST00000291565,26.16,20.12,18.66
ENST00000370129,0.14,0.27,0.7
ENST00000509245,0.38,0.05,0.8
ENST00000531896,0.1,0.38,0.22
ENST00000531891,0,0.09,0
ENST00000219919,0.21,0,0
ENST00000440204,0,0,0
ENST00000514209,0,0,0
ENST00000351035,0,0,0.05
ENST00000583599,0.18,0.07,0
ENST00000491102,0,0,0
ENST00000503359,1.77,2.68,5.79
ENST00000419661,0,0,0
ENST00000601761,0,0,0
ENST00000492108,0,0,0.04
ENST00000557056,0,0.04,0.01
ENST00000542822,0,0,0
ENST00000557053,0,0,0
ENST00000518202,0,0.28,0.11
ENST00000498208,0.1,0.32,1.06
ENST00000302103,5.11,7.8,4.33
ENST00000406590,0,0,0
ENST00000440143,0,0.21,0
ENST00000464566,0.48,0.58,1.47
ENST00000553610,1.01,0.28,1.64
ENST00000392988,1.87,3.63,4.52
ENST00000260402,0.54,0.76,0.81
ENST00000448127,0.13,0.85,1.32
ENST00000477745,0.4,0,0
ENST00000510235,0.6,1.01,0.92
ENST00000373271,0.7,2.16,1.58
ENST00000428024,0.54,1.44,0.15
ENST00000541550,2.59,0.87,0.66
ENST00000558554,0,0.39,0.74
ENST00000413014,0,0,0.69
ENST00000396404,0.06,0.01,0.02
ENST00000413016,15.64,11.57,8.17
ENST00000528425,0,0,0
ENST00000396151,0.51,0.47,0.28
ENST00000396402,0.02,0,0.03
ENST00000409484,0.04,0.09,0.17
ENST00000568828,0,0,0.07
ENST00000348127,2.82,0.4,2.52
ENST00000416627,0.05,0.32,0.21
ENST00000263276,0.64,0.14,0.34
ENST00000321339,0,0,0
ENST00000374662,10.17,4.7,3.82
ENST00000394375,0,0,0
ENST00000315087,0.41,0.42,0.66
ENST00000382940,0,0,0.08
ENST00000357869,0.06,0.13,0
ENST00000539272,0,0,0
ENST00000495082,0.04,0,0.02
ENST00000605860,0.25,0.32,1.31
ENST00000238651,9.21,8.57,9.93
ENST00000566304,13.11,6.45,16.59
ENST00000263182,1.62,0.91,6.49
ENST00000447496,0,0.11,0
ENST00000220562,15.04,23.49,17.03
ENST00000460088,2.14,2.17,3.18
ENST00000481966,0,0.27,0.18
ENST00000587671,0,0,0
ENST00000544894,0.5,0.18,0.78
ENST00000314133,231.68,146.39,238.29
ENST00000232892,0,0,0
ENST00000424469,7.39,1.67,2.08
ENST00000294868,1.86,0.56,0.1
ENST00000544898,0.25,0.16,0.19
ENST00000591981,0.06,0.14,0.23
ENST00000359832,1.04,1,0.54
ENST00000546020,0.93,0.53,1.16
ENST00000556015,0,0,0
ENST00000497883,0,0,0
ENST00000322776,52.64,55.54,45.28
ENST00000366728,8.67,7.24,7.47
ENST00000521571,0.11,0.52,0.51
ENST00000552706,0,0,0.15
ENST00000366723,0,0.74,0.49
ENST00000366722,0.88,0.85,0.53
ENST00000366721,6.61,5,7.62
ENST00000482059,0.21,0.03,0
ENST00000262052,26.56,25.62,42.07
ENST00000420017,0,0,0
ENST00000420542,0.53,0.19,0
ENST00000262051,3.75,5.98,6.7
ENST00000292427,0,0,0
ENST00000593233,2.75,1.91,15.7
ENST00000539891,2.48,1.85,3.35
ENST00000579281,0,0,0
ENST00000376585,0.07,0,0.03
ENST00000470820,0,0.05,0.06
ENST00000380663,0,0,0
ENST00000380843,36.08,51.27,49.23
ENST00000341156,3.27,7.58,3.89
ENST00000380668,1.15,0.6,6.73
ENST00000535401,0.45,0.27,0.73
ENST00000458406,0.08,0.06,0
ENST00000381136,0.04,0,0
ENST00000565016,0,0,0.14
ENST00000536813,0,0,0
ENST00000570258,0.06,0.19,0.1
ENST00000476176,0,0,0
ENST00000375323,0,0,0.09
ENST00000375320,0,0,0
ENST00000423167,0,0,0
ENST00000570257,0.17,0.33,0.52
ENST00000589238,0,0,0.1
ENST00000445645,0.04,0,0
ENST00000503336,0,0,0
ENST00000399322,0.78,2.02,0.33
ENST00000583025,0.15,0.12,0.16
ENST00000592989,0,0.11,0
ENST00000455830,0,0,0
ENST00000512695,0,0.08,0.07
ENST00000450240,0.12,0,0
ENST00000480109,2.59,10.46,0.69
ENST00000541315,0.11,0.29,0.24
ENST00000440925,0.16,0.21,0.54
ENST00000440926,0,0,0
ENST00000436384,0,0,0
ENST00000436439,1.7,1.72,10.7
ENST00000436438,0,0,0
ENST00000310454,8.11,11.63,8.87
ENST00000489286,0,0,0
ENST00000586448,0.43,0.05,0.01
ENST00000318683,0,0,0.02
ENST00000557865,0.12,0,0
ENST00000442225,1.16,1.04,1.03
ENST00000280096,2.86,1.64,3.54
ENST00000280097,21.54,8.99,17.16
ENST00000512079,0,0,0
