,GSM997604,GSM997618,GSM997606,GSM997626,GSM997628,GSM997624,GSM997625,GSM997623,GSM997611,GSM997602,GSM997614,GSM997603,GSM997617,GSM997612,GSM997607,GSM997615,GSM997613,GSM997608,GSM997600,GSM997621,GSM997620,GSM997627,GSM997609,GSM997629,GSM997605,GSM997622,GSM997610,GSM997601,GSM997616,GSM997619
8813,11.38615388,11.33341165,10.22142714,8.920842655,11.04409333,11.52762027,11.51250597,11.58827343,9.519835964,11.48912973,10.88271863,11.55860652,9.935272447000001,10.30616707,11.19740351,9.558450046,11.11070312,9.802713568,9.723911278,10.99108032,10.36694746,11.45594211,10.64781015,11.922269199999999,5.161116098,10.40986143,9.601487731,6.818721337,8.766221337000001,9.753865446
2519,6.745405445,6.318156417999999,6.834728851,5.9442901820000005,6.936465514,7.415413942000001,7.699772125,7.613222896,6.453611694,7.243200352000001,7.917163772,8.316547811,6.694082517999999,6.621908907000001,7.357713642999999,6.803968149,7.025910108,7.124346561,7.485401062999999,6.485127407999999,6.85843536,7.3792809010000004,7.289558461,8.238199833,4.974893949,7.289726442,6.904606125,5.432685856,5.513772752,7.082796922999999
2729,7.864433247999999,8.351691637,5.596137645,5.9072184629999995,7.316587307000001,6.922319846000001,8.228924048,6.732506001,6.572909876000001,8.554438202,6.575253482000001,7.275501147999999,6.603629786,3.969459309,7.558794324,5.793445403,6.6696125120000005,6.4404363270000005,7.26988108,5.660801807,6.816242495,8.076852464,7.016555831,8.090818569,4.935508789,6.143345201,5.077095547,5.469759342000001,6.252348122999999,6.046192333
51056,10.41259648,8.199677602000001,8.307508214,8.025613347,10.32177705,10.26702228,9.969878835,10.3827875,8.897010553,10.87103271,10.40281989,10.62829731,7.975374134,8.509262903,11.024568400000001,7.448084177999999,10.92148822,9.296886289,9.089588597999999,9.282803234,8.651312602,10.25106171,10.74074674,10.78189433,4.291788949,8.154948689,8.566037004,6.161409039,6.932439635,8.186065843
9957,5.774469981,6.348732968999999,3.204646183,4.353535642,5.811222558,6.183911382000001,6.4599749189999995,6.63790815,5.592122799,6.097535412999999,5.308171367,10.62992131,8.642861733,7.914050152000001,5.24547251,8.671210617,5.960039475,4.69845256,5.183802633,6.7881502970000005,9.992216611,9.825209102,5.560797767,5.611116807999999,4.973326623,10.73011315,3.4252143719999997,5.686318968999999,3.930118725,9.426383166
26,5.131491325,4.693824396,5.343147962,4.7668271760000005,4.879396003,5.080956015,4.899426496,5.153473998,4.43878619,4.829916561,4.98874553,4.746214946,4.956649602,4.746514152,5.946264075,4.482063977,6.10222924,5.878760357000001,4.993934714,4.489645981000001,4.359611882,4.603252357,4.68620477,4.688613885,5.167554786,4.588458408,5.490285879,4.572947548999999,4.732161775,4.8313468
6542,7.022046694,8.978780964,6.622849617999999,6.270838927000001,7.37212373,6.742943839,6.354890912,6.228300914,6.8979745029999995,7.176027068,6.552934003,9.308224151000001,8.155896582999999,5.232218228,6.717986292000001,11.32393795,7.096440843,6.578486677000001,7.901102757,8.254838742,9.943131842,9.84418834,6.112679392,6.637911989,6.765130049,10.71665623,5.355205387,6.479243169,6.033354248999999,8.165370467999999
204,7.140300889,6.308607514,4.350893833,6.076636057000001,6.043841208,6.264508159,6.661242207999999,6.176338498,5.640377598,7.364855282000001,5.871113199,7.06819099,6.177133177000001,5.585040241000001,7.099831836,6.217047316,6.257201762999999,6.73657449,6.594638487,5.562825507,5.964079373,5.12073896,6.202846235,7.845430309,5.9640541439999994,5.116051265,4.585548786,6.1818063389999995,5.147863327,5.7240104789999995
952,5.436331946,5.756544306,5.98159141,5.474231979,6.754990304,5.670326557,5.197480784,5.126598241,6.920557862999999,5.771840602,6.164314957,6.972342267,5.362079107,5.23493354,7.787999602999999,6.06560537,6.005024056,5.98306283,5.44352648,6.28205129,5.52734158,6.573642227000001,6.669298065,5.608727086,7.05918929,5.270766612,5.591613699,5.971364321,5.10534378,5.172771795
4706,11.05543128,10.80974226,11.44160699,9.604229422000001,10.10836116,11.19855026,10.77174583,11.13847847,10.12889248,11.64323745,11.34679009,11.21988099,10.1582455,11.11638891,11.42906009,10.45921828,11.68973683,10.61742082,11.41551542,10.13287085,11.06676826,11.347899400000001,11.13409046,11.26465949,7.698870968,11.11409441,11.10850196,8.940287775,8.820788372,10.45392283
