,GSM997592,GSM997593,GSM997596,GSM997591,GSM997594,GSM997597,GSM997595,GSM997598
8813,9.206424951,8.907514959,10.77956483,9.137768,10.27571471,8.198717125,10.55900667,10.13652106
2519,5.728836836,6.081070492,5.302360483,4.578507822,4.886720206000001,5.534458915,5.621242795,5.6916791060000005
2729,5.1671533389999995,5.11681861,7.007324542999999,4.794978658,6.276135066,5.153106179,5.436793839,4.92211518
51056,6.414189136,5.701939319,6.947746037000001,6.241791956,8.00596283,4.606075125,6.1589649060000005,7.792246791
9957,7.631396573,5.9518544460000005,4.833895998,8.420665066,6.331446047000001,6.23508257,8.645183838,7.677234781
26,5.112775121,5.470355282000001,4.725991876,4.801238753,4.951455907,4.899426496,4.826941099,4.7867494719999995
6542,6.792681485,6.663069812000001,6.6478107060000005,8.55225026,7.956720132,6.541375617999999,8.452098901,9.544308722
204,4.56086848,5.621809487,5.07175352,5.282653091999999,5.249225022,5.536671523,5.04659118,5.367519539
952,6.497444347999999,5.715419279,5.877609232,5.86247257,6.429226203,6.54843788,5.431751545,5.985233298
4706,9.046455858,9.44710907,9.515647201,9.287356692000001,9.475519471,8.970829237,9.267564049,10.33220947
10165,4.722433172,4.48842739,4.736827405,4.807064194,4.835445746,4.448965031,5.289312799999999,4.051160402
6521,6.413687962999999,6.36009632,6.219553874,6.0873692429999995,6.411271762,6.875394107000001,6.460964831,6.829295179
292,9.127394896,7.561322115,9.478132606,8.696103649,9.467472993,7.835720808,9.442073897,9.320933262999999
4353,4.380452458,4.858089292,4.553208927,3.989064589,4.5926530560000005,4.806176932,3.882311081,4.554182924
54677,7.01534701,7.481130595,7.348063721,7.218992425,7.043339923,7.262273921,7.701095473,7.8075474289999995
5244,5.306115421,5.38180372,5.165104418,4.881213412,5.722257827999999,4.952037293,5.293128115,5.468714597000001
6833,5.011363743,4.93155239,5.254530306,5.4794688570000005,4.274434995,5.463841747000001,4.639180566,5.404497403
221,7.140392014,7.49862382,6.920092597999999,6.624533415,6.902981667000001,7.2775516389999995,6.222196218,6.896859205
79017,8.535700716000001,6.456411515,7.383202766,6.969353687000001,8.754984926,6.756122437,9.077759298,8.504077284
8228,6.0397446939999995,6.848129165,6.262869103,6.229643652999999,6.477889093,6.2103189279999995,6.442609011,7.691723426
151531,4.706611286,4.1074322389999995,4.356088148,5.313096052,4.829042397,4.687241038,4.779930602,4.243066784
5048,4.392538565,4.682513602,7.524947431,5.74152891,6.074703873,3.438955444,7.561567959,6.42261897
4843,5.322600063,4.88123197,4.787182608999999,5.911937469,5.183114332,6.057168457,4.429696221,4.647328009
9058,6.769427013,5.9884433,5.88431293,5.707074047000001,5.884978674,7.951403005,6.099510513999999,6.023533385
8277,4.528621049,4.260803532,5.012846112,4.708013231,4.153443321,4.8485240439999995,4.575881446,4.532535846
9091,5.946780241,5.494629614,5.123120867,5.555490087000001,5.108408926,4.970973216,5.018123385,5.248487234
65220,4.532040171,3.8883121089999997,6.664017143,5.139716971,7.067245109,4.952656853,6.5834809110000005,8.099079621
10157,3.963397555,5.013179598,4.763065451,4.336254573,4.703242358,4.345608166,4.886425027,5.09583815
6482,4.560795481,5.5576557,4.870829233,4.6084942,5.043400317,4.346320683,4.90231326,4.698872747
7384,6.747421171,6.628524087000001,7.258954855,7.528401451000001,7.710335807000001,7.001650589,6.9902681179999995,6.81403077
6540,5.502493993,6.576686081,6.196345237,5.8223496589999995,4.4394703280000005,6.249504647999999,6.029823939,6.1706134829999995
