Task ID,Type,ID,Medium,Constraints,Expected value,Description
1,Metabolite,3pg_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
2,Metabolite,akg_m,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
3,Metabolite,e4p_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
4,Metabolite,f6p_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
5,Metabolite,g3p_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
6,Metabolite,g6p_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
7,Metabolite,oaa_m,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
8,Metabolite,pep_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
9,Metabolite,pyr_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
10,Metabolite,r5p_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
11,Metabolite,atp_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
12,Metabolite,ctp_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
13,Metabolite,gtp_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
14,Metabolite,utp_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
15,Metabolite,datp_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
16,Metabolite,dctp_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
17,Metabolite,dgtp_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
18,Metabolite,dttp_c,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
19,Reaction,PGI,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
20,Reaction,PFK,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
21,Reaction,FBA,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
22,Reaction,GAPD,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
23,Reaction,PGK,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
24,Reaction,PGM,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
25,Reaction,ENO,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
26,Reaction,PYK,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
27,Reaction,PYRt2m,glc__D_e(-1.0);ca2_e(-1000.0);cl_e(-1000.0);co2_e(-1000.0);fe2_e(-1000.0);fe3_e(-1000.0);h_e(-1000.0);oh1_e(-1000.0);k_e(-1000.0);na1_e(-1000.0);nh4_e(-1000.0);o2_e(-1000.0);pi_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
28,Reaction,biomass_reaction,ala__L_e(-0.05);arg__L_e(-0.05);asn__L_e(-0.05);asp__L_e(-0.05);btn_e(-0.005);ca2_e(-1000.0);chol_e(-0.005);cl_e(-1000.0);co2_e(-1000.0);cys__L_e(-0.05);fe2_e(-1000.0);fe3_e(-1000.0);fol_e(-0.005);glc__D_e(-5.0);gln__L_e(-0.5);glu__L_e(-0.05);gly_e(-0.05);gthrd_e(-0.05);h_e(-1000.0);oh1_e(-1000.0);his__L_e(-0.05);ile__L_e(-0.05);inost_e(-0.005);k_e(-1000.0);leu__L_e(-0.05);lys__L_e(-0.05);met__L_e(-0.05);na1_e(-1000.0);ncam_e(-0.005);nh4_e(-1000.0);o2_e(-1000.0);phe__L_e(-0.05);pi_e(-1000.0);pnto__R_e(-0.005);pro__L_e(-0.05);pydx_e(-0.005);ribflv_e(-0.005);ser__L_e(-0.05);thm_e(-0.005);thr__L_e(-0.05);trp__L_e(-0.05);tyr__L_e(-0.05);val__L_e(-0.05),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Growth
