TF	Status	Gene
ENSG00000276072	Repression	ENSG00000087088
ENSG00000276072	Activation	ENSG00000136997
ENSG00000097007	Activation	ENSG00000087088
ENSG00000097007	Repression	ENSG00000171791
ENSG00000097007	Repression	ENSG00000113916
ENSG00000097007	Activation	ENSG00000118971
ENSG00000097007	Activation	ENSG00000124762
ENSG00000097007	Activation	ENSG00000184371
ENSG00000097007	Activation	ENSG00000118689
ENSG00000097007	Activation	ENSG00000177606
ENSG00000097007	Repression	ENSG00000177606
ENSG00000097007	Activation	ENSG00000137193
ENSG00000097007	Activation	ENSG00000141510
ENSG00000104964	Activation	ENSG00000138795
ENSG00000104964	Activation	ENSG00000115963
ENSG00000106546	Activation	ENSG00000063438
ENSG00000106546	Repression	ENSG00000107159
ENSG00000106546	Activation	ENSG00000138764
ENSG00000106546	Activation	ENSG00000140465
ENSG00000106546	Repression	ENSG00000140465
ENSG00000106546	Activation	ENSG00000138061
ENSG00000106546	Activation	ENSG00000136244
ENSG00000106546	Activation	ENSG00000132646
ENSG00000106546	Activation	ENSG00000133119
ENSG00000106546	Activation	ENSG00000241635
ENSG00000110711	Activation	ENSG00000106546
ENSG00000110711	Repression	ENSG00000196208
ENSG00000110711	Repression	ENSG00000077150
ENSG00000110711	Repression	ENSG00000048649
ENSG00000110711	Repression	ENSG00000160182
ENSG00000148677	Repression	ENSG00000175206
ENSG00000166313	Repression	ENSG00000163655
ENSG00000134982	Repression	ENSG00000142208
ENSG00000134982	Repression	ENSG00000135409
ENSG00000134982	Repression	ENSG00000130816
ENSG00000134982	Repression	ENSG00000136997
ENSG00000134982	Activation	ENSG00000007171
ENSG00000134982	Repression	ENSG00000115758
ENSG00000134982	Repression	ENSG00000073756
ENSG00000134982	Repression	ENSG00000118515
ENSG00000100823	Activation	ENSG00000108691
ENSG00000100823	Activation	ENSG00000177455
ENSG00000100823	Repression	ENSG00000179142
ENSG00000100823	Activation	ENSG00000109320
ENSG00000100823	Repression	ENSG00000152266
ENSG00000100823	Activation	ENSG00000173039
ENSG00000100823	Activation	ENSG00000105641
ENSG00000169083	Activation	ENSG00000143632
ENSG00000169083	Repression	ENSG00000196139
ENSG00000169083	Activation	ENSG00000142208
ENSG00000169083	Repression	ENSG00000142208
ENSG00000169083	Activation	ENSG00000118520
ENSG00000169083	Activation	ENSG00000081181
ENSG00000169083	Repression	ENSG00000133639
ENSG00000169083	Repression	ENSG00000159388
ENSG00000169083	Activation	ENSG00000156345
ENSG00000169083	Activation	ENSG00000094804
ENSG00000169083	Repression	ENSG00000039068
ENSG00000169083	Activation	ENSG00000170558
ENSG00000169083	Activation	ENSG00000156345
ENSG00000169083	Activation	ENSG00000124762
ENSG00000169083	Repression	ENSG00000124762
ENSG00000169083	Repression	ENSG00000179335
ENSG00000169083	Repression	ENSG00000147571
ENSG00000169083	Activation	ENSG00000168036
ENSG00000169083	Repression	ENSG00000172817
ENSG00000169083	Activation	ENSG00000146648
ENSG00000169083	Activation	ENSG00000100393
ENSG00000169083	Activation	ENSG00000141736
ENSG00000169083	Activation	ENSG00000065361
ENSG00000169083	Activation	ENSG00000006468
ENSG00000169083	Activation	ENSG00000100292
ENSG00000169083	Activation	ENSG00000140443
ENSG00000169083	Activation	ENSG00000177606
ENSG00000169083	Activation	ENSG00000170498
ENSG00000169083	Activation	ENSG00000116014
ENSG00000169083	Activation	ENSG00000142515
ENSG00000169083	Repression	ENSG00000142515
ENSG00000169083	Repression	ENSG00000185499
ENSG00000169083	Activation	ENSG00000171428
ENSG00000169083	Repression	ENSG00000109320
ENSG00000169083	Activation	ENSG00000167034
ENSG00000169083	Repression	ENSG00000213281
ENSG00000169083	Activation	ENSG00000173599
ENSG00000169083	Activation	ENSG00000284792
ENSG00000169083	Repression	ENSG00000073756
ENSG00000169083	Repression	ENSG00000173039
ENSG00000169083	Repression	ENSG00000084093
ENSG00000169083	Repression	ENSG00000122545
ENSG00000169083	Repression	ENSG00000206075
ENSG00000169083	Activation	ENSG00000163235
ENSG00000169083	Activation	ENSG00000180176
ENSG00000169083	Activation	ENSG00000277401
ENSG00000169083	Activation	ENSG00000184012
ENSG00000169083	Repression	ENSG00000165699
ENSG00000169083	Repression	ENSG00000103197
ENSG00000169083	Repression	ENSG00000163794
ENSG00000169083	Activation	ENSG00000112715
ENSG00000169083	Repression	ENSG00000026025
ENSG00000169083	Repression	ENSG00000166483
ENSG00000169083	Activation	ENSG00000188064
ENSG00000169083	Repression	ENSG00000101966
ENSG00000116017	Activation	ENSG00000140464
ENSG00000143437	Activation	ENSG00000107159
ENSG00000143437	Repression	ENSG00000105173
ENSG00000143437	Repression	ENSG00000123374
ENSG00000143437	Activation	ENSG00000140465
ENSG00000143437	Activation	ENSG00000138061
ENSG00000143437	Activation	ENSG00000130427
ENSG00000143437	Repression	ENSG00000170345
ENSG00000143437	Activation	ENSG00000100644
ENSG00000143437	Repression	ENSG00000177606
ENSG00000133794	Activation	ENSG00000134107
ENSG00000133794	Activation	ENSG00000008405
ENSG00000133794	Activation	ENSG00000121671
ENSG00000133794	Activation	ENSG00000179094
ENSG00000133794	Activation	ENSG00000132326
ENSG00000133794	Activation	ENSG00000049246
ENSG00000029153	Activation	ENSG00000106366
ENSG00000139352	Repression	ENSG00000107984
ENSG00000139352	Repression	ENSG00000167244
ENSG00000139352	Repression	ENSG00000140479
ENSG00000139352	Repression	ENSG00000129167
ENSG00000123268	Repression	ENSG00000133101
ENSG00000123268	Activation	ENSG00000001626
ENSG00000123268	Activation	ENSG00000167996
ENSG00000123268	Repression	ENSG00000167996
ENSG00000123268	Activation	ENSG00000136634
ENSG00000123268	Activation	ENSG00000140941
ENSG00000123268	Activation	ENSG00000187098
ENSG00000123268	Activation	ENSG00000175426
ENSG00000123268	Activation	ENSG00000144136
ENSG00000123268	Activation	ENSG00000092969
ENSG00000115966	Activation	ENSG00000110245
ENSG00000115966	Activation	ENSG00000162772
ENSG00000115966	Activation	ENSG00000110092
ENSG00000115966	Repression	ENSG00000172977
ENSG00000115966	Activation	ENSG00000171855
ENSG00000115966	Activation	ENSG00000111537
ENSG00000115966	Activation	ENSG00000254647
ENSG00000115966	Activation	ENSG00000177606
ENSG00000115966	Activation	ENSG00000087245
ENSG00000115966	Repression	ENSG00000164867
ENSG00000115966	Activation	ENSG00000124253
ENSG00000115966	Activation	ENSG00000104368
ENSG00000115966	Activation	ENSG00000070501
ENSG00000115966	Activation	ENSG00000173039
ENSG00000115966	Activation	ENSG00000104918
ENSG00000115966	Activation	ENSG00000115525
ENSG00000115966	Repression	ENSG00000092969
ENSG00000115966	Activation	ENSG00000206439
ENSG00000162772	Repression	ENSG00000159346
ENSG00000162772	Repression	ENSG00000285070
ENSG00000162772	Activation	ENSG00000070669
ENSG00000162772	Activation	ENSG00000175197
ENSG00000162772	Activation	ENSG00000130513
ENSG00000162772	Repression	ENSG00000125968
ENSG00000162772	Activation	ENSG00000111537
ENSG00000162772	Repression	ENSG00000130164
ENSG00000162772	Repression	ENSG00000087245
ENSG00000162772	Repression	ENSG00000007908
ENSG00000128272	Activation	ENSG00000130203
ENSG00000128272	Activation	ENSG00000070669
ENSG00000128272	Activation	ENSG00000162772
ENSG00000128272	Activation	ENSG00000057663
ENSG00000128272	Activation	ENSG00000172216
ENSG00000128272	Activation	ENSG00000128965
ENSG00000128272	Activation	ENSG00000175197
ENSG00000128272	Activation	ENSG00000168209
ENSG00000128272	Activation	ENSG00000162733
ENSG00000128272	Activation	ENSG00000162344
ENSG00000128272	Activation	ENSG00000105550
ENSG00000128272	Activation	ENSG00000135116
ENSG00000128272	Repression	ENSG00000044574
ENSG00000128272	Activation	ENSG00000146678
ENSG00000128272	Repression	ENSG00000185507
ENSG00000128272	Activation	ENSG00000140941
ENSG00000128272	Activation	ENSG00000080986
ENSG00000128272	Activation	ENSG00000176046
ENSG00000128272	Activation	ENSG00000122861
ENSG00000128272	Activation	ENSG00000147955
ENSG00000128272	Activation	ENSG00000096717
ENSG00000128272	Repression	ENSG00000096717
ENSG00000128272	Repression	ENSG00000283100
ENSG00000128272	Activation	ENSG00000101255
ENSG00000128272	Activation	ENSG00000112715
ENSG00000169136	Activation	ENSG00000171791
ENSG00000169136	Activation	ENSG00000112576
ENSG00000169136	Activation	ENSG00000118260
ENSG00000169136	Activation	ENSG00000197408
ENSG00000169136	Repression	ENSG00000125968
ENSG00000118217	Activation	ENSG00000102580
ENSG00000118217	Repression	ENSG00000182759
ENSG00000118217	Activation	ENSG00000131910
ENSG00000118217	Activation	ENSG00000104805
ENSG00000118217	Repression	ENSG00000139515
ENSG00000118217	Activation	ENSG00000133318
ENSG00000118217	Activation	ENSG00000164211
ENSG00000118217	Activation	ENSG00000239779
