"MetaboliteID","Name"
"gsn_c","guanosine"
"cytd_c","cytidine"
"uri_e","uridine"
"uri_c","uridine"
"pi_e","phosphate"
"co2_x","CO2"
"fadh2_m","FADH2"
"fad_m","FAD"
"h_x","H(+)"
"h_e","H(+)"
"ppi_m","diphosphate"
"so3_m","sulfite"
"so3_c","sulfite"
"o2_c","O2"
"pi_c","phosphate"
"dcmp_c","dCMP"
"gdp_m","GDP"
"gtp_m","GTP"
"coa_r","CoA"
"h_c","H(+)"
"pi_m","phosphate"
"dctp_c","dCTP"
"h2co3_m","carbonic acid"
"h2co3_c","carbonic acid"
"ump_r","UMP"
"h2co3_e","carbonic acid"
"atp_c","ATP"
"adp_c","ADP"
"ppi_c","diphosphate"
"coa_c","CoA"
"ppi_r","diphosphate"
"datp_c","dATP"
"dgtp_c","dGTP"
"ctp_c","CTP"
"udp_n","UDP"
"ura_c","uracil"
"gtp_n","GTP"
"gdp_n","GDP"
"adn_m","adenosine"
"datp_n","dATP"
"adp_x","ADP"
"dttp_c","dTTP"
"dutp_m","dUTP"
"dump_c","dUMP"
"cytd_m","cytidine"
"cmp_m","CMP"
"cdp_m","CDP"
"ctp_m","CTP"
"ade_c","adenine"
"oh1_n","H2O"
"ppi_n","diphosphate"
"pi_n","phosphate"
"nh4_n","NH3"
"h_n","H(+)"
"dump_m","dUMP"
"utp_n","UTP"
"thymd_m","thymidine"
"dtmp_m","dTMP"
"nh4_x","NH3"
"thymd_c","thymidine"
"dtmp_c","dTMP"
"damp_c","dAMP"
"dutp_c","dUTP"
"fad_c","FAD"
"dcdp_n","dCDP"
"dcmp_n","dCMP"
"dgtp_n","dGTP"
"pi_x","phosphate"
"ctp_n","CTP"
"o2_x","O2"
"h2o2_x","H2O2"
"oh1_x","H2O"
"nadh_x","NADH"
"nad_x","NAD(+)"
"adn_c","adenosine"
"k_e","K(+)"
"k_c","K(+)"
"adn_e","adenosine"
"oh1_l","H2O"
"h_l","H(+)"
"udp_g","UDP"
"so4_l","sulfate"
"pi_g","phosphate"
"ump_g","UMP"
"udp_l","UDP"
"cmp_g","CMP"
"h_g","H(+)"
"oh1_g","H2O"
"zn2_e","Zn(2+)"
"zn2_c","Zn(2+)"
"gtp_c","GTP"
"fad_r","FAD"
"fadh2_c","FADH2"
"fadh2_r","FADH2"
"o2_r","O2"
"amp_m","AMP"
"co2_r","CO2"
"fad_e","FAD"
"amp_e","AMP"
"oh1_r","H2O"
"o2_m","O2"
"h_i","H(+)"
"h_r","H(+)"
"gdp_c","GDP"
"atp_m","ATP"
"adp_m","ADP"
"na1_c","Na(+)"
"na1_e","Na(+)"
"na1_r","Na(+)"
"coa_x","CoA"
"nadh_r","NADH"
"nad_r","NAD(+)"
"so4_m","sulfate"
"cmp_c","CMP"
"oh1_m","H2O"
"dudp_m","dUDP"
"dtdp_m","dTDP"
"dgdp_m","dGDP"
"dcdp_m","dCDP"
"dadp_m","dADP"
"dudp_c","dUDP"
"dtdp_c","dTDP"
"co2_c","CO2"
"atp_x","ATP"
"amp_x","AMP"
"cdp_c","CDP"
"atp_r","ATP"
"amp_r","AMP"
"dcdp_c","dCDP"
"o2_e","O2"
"h_m","H(+)"
"coa_m","CoA"
"dctp_n","dCTP"
"oh1_c","H2O"
"oh1_e","H2O"
"dgdp_c","dGDP"
"ppi_x","diphosphate"
"amp_c","AMP"
"nad_c","NAD(+)"
"nadh_c","NADH"
"pi_r","phosphate"
"utp_c","UTP"
"dadp_c","dADP"
"udp_c","UDP"
"nh4_c","NH3"
"h2o2_c","H2O2"
"ump_c","UMP"
"nadph_c","NADPH"
"nadp_c","NADP(+)"
"nadph_r","NADPH"
"nadp_r","NADP(+)"
"so4_c","sulfate"
"nadp_m","NADP(+)"
"nadph_m","NADPH"
"co2_m","CO2"
"nh4_e","NH3"
"co2_e","CO2"
"thm_c","thiamine"
"nad_m","NAD(+)"
"nadh_m","NADH"
"nh4_m","NH3"
"gmp_c","GMP"
"so4_e","sulfate"
"dttp_n","dTTP"
"ade_e","adenine"
"adp_l","ADP"
"adp_r","ADP"
"atp_e","ATP"
"atp_l","ATP"
"atp_n","ATP"
"coa_g","CoA"
"coa_l","CoA"
"datp_m","dATP"
"dctp_m","dCTP"
"dgtp_m","dGTP"
"dttp_m","dTTP"
"fad_x","FAD"
"fadh2_x","FADH2"
"gdp_g","GDP"
"gmp_g","GMP"
"gmp_m","GMP"
"gmp_n","GMP"
"gsn_m","guanosine"
"gua_c","guanine"
"h2o2_e","H2O2"
"h2o2_m","H2O2"
"nad_n","NAD(+)"
"nadp_x","NADP(+)"
"nadph_x","NADPH"
"pi_l","phosphate"
"ppi_e","diphosphate"
"udp_e","UDP"
"udp_r","UDP"
"ump_e","UMP"
"utp_e","UTP"
