entrez,symbol
90701,SEC11C
7389,UROD
8908,GYG2
51382,ATP6V1D
1339,COX6A2
3155,HMGCL
83594,NUDT12
115019,SLC26A9
366,AQP9
4891,SLC11A2
2243,FGA
361,AQP4
90423,ATP6V1E2
162466,PHOSPHO1
9153,SLC28A2
4249,MGAT5
51478,HSD17B7
4846,NOS3
79178,THTPA
435,ASL
5162,PDHB
22934,RPIA
7352,UCP3
48,ACO1
438,ASMT
160287,LDHAL6A
6697,SPR
93100,NAPRT
26063,DECR2
5161,PDHA2
6505,SLC1A1
55790,CSGALNACT1
64240,ABCG5
51805,COQ3
5230,PGK1
2548,GAA
142680,SLC34A3
1757,SARDH
64078,SLC28A3
278,AMY1C
2819,GPD1
6561,SLC13A1
2571,GAD1
1340,COX6B1
1327,COX4I1
2651,GCNT2
222537,HS3ST5
8029,CUBN
55967,NDUFA12
481,ATP1B1
253430,IPMK
3292,HSD17B1
622,BDH1
9536,PTGES
1586,CYP17A1
2877,GPX2
6609,SMPD1
2986,GUCY2F
10555,AGPAT2
6582,SLC22A2
2181,ACSL3
64902,AGXT2
6541,SLC7A1
10905,MAN1A2
54898,ELOVL2
23600,AMACR
2542,SLC37A4
221,ALDH3B1
10870,HCST
4121,MAN1A1
8760,CDS2
8310,ACOX3
4126,MANBA
29906,ST8SIA5
2168,FABP1
6563,SLC14A1
343,AQP8
91703,ACY3
4731,NDUFV3
1103,CHAT
50506,DUOX2
84129,ACAD11
8875,VNN2
196883,ADCY4
6185,RPN2
248,ALPI
6723,SRM
1576,CYP3A4
10690,FUT9
762,CA4
111,ADCY5
55811,ADCY10
1312,COMT
3417,IDH1
5832,ALDH18A1
8654,PDE5A
5407,PNLIPRP1
5723,PSPH
64132,XYLT2
8309,ACOX2
6484,ST3GAL4
51733,UPB1
4714,NDUFB8
4697,COXFA4
338,APOB
55191,NADSYN1
4707,NDUFB1
30815,ST6GALNAC6
7084,TK2
60481,ELOVL5
6575,SLC20A2
1036,CDO1
150763,GPAT2
8372,HYAL3
140838,NANP
55902,ACSS2
7299,TYR
1244,ABCC2
2348,FOLR1
257068,PLCXD2
114112,TXNRD3
2582,GALE
4708,NDUFB2
85320,ABCC11
2098,ESD
594,BCKDHB
1608,DGKG
64579,NDST4
349565,NMNAT3
6489,ST8SIA1
23539,SLC16A8
5146,PDE6C
8501,SLC43A1
80168,MOGAT2
29988,SLC2A8
3631,INPP4A
316,AOX1
64241,ABCG8
23498,HAAO
482,ATP1B2
126,ADH1C
1588,CYP19A1
113235,SLC46A1
3242,HPD
5332,PLCB4
2720,GLB1
362,AQP5
6241,RRM2
10057,ABCC5
30061,SLC40A1
5048,PAFAH1B1
79017,GGCT
64220,STRA6
6342,SCP2
593,BCKDHA
1632,ECI1
1589,CYP21A2
39,ACAT2
2679,GGT3P
160728,SLC5A8
3036,HAS1
6307,MSMO1
2878,GPX3
492,ATP2B3
3162,HMOX1
55825,PECR
9497,SLC4A7
92483,LDHAL6B
6319,SCD
6523,SLC5A1
8034,SLC25A16
79623,GALNT14
6518,SLC2A5
374907,B3GNT8
84803,GPAT3
80347,COASY
134526,ACOT12
2632,GBE1
875,CBS
226,ALDOA
6999,TDO2
3029,HAGH
10166,SLC25A15
6783,SULT1E1
1811,SLC26A3
2762,GMDS
6581,SLC22A3
314,AOC2
8395,PIP5K1B
9962,SLC23A2
6821,SUOX
386757,SLC6A10P
6556,SLC11A1
5009,OTC
3291,HSD11B2
56954,NIT2
3034,HAL
8803,SUCLA2
4905,NSF
84679,SLC9A7
8394,PIP5K1A
8869,ST3GAL5
290,ANPEP
23533,PIK3R5
374291,NDUFS7
8611,PLPP1
2583,B4GALNT1
10396,ATP8A1
27159,CHIA
2987,GUK1
11181,TREH
89874,SLC25A21
3633,INPP5B
2584,GALK1
2729,GCLC
2519,FUCA2
384,ARG2
427,ASAH1
23443,SLC35A3
978,CDA
5973,RENBP
3033,HADH
2131,EXT1
51527,GSKIP
116369,SLC26A8
1158,CKM
112611,RWDD2A
9194,SLC16A7
81031,SLC2A10
10229,COQ7
51109,RDH11
6303,SAT1
5298,PI4KB
8836,GGH
3145,HMBS
5053,PAH
1584,CYP11B1
79966,SCD5
4725,NDUFS5
4942,OAT
55217,TMLHE
123041,SLC24A4
5210,PFKFB4
128869,PIGU
140679,SLC32A1
2495,FTH1
154091,SLC2A12
491,ATP2B2
9348,NDST3
56922,MCCC1
1491,CTH
759,CA1
57379,AICDA
3156,HMGCR
5049,PAFAH1B2
11285,B4GALT7
57084,SLC17A6
1585,CYP11B2
6526,SLC5A3
6184,RPN1
6520,SLC3A2
55301,OLAH
8050,PDHX
1743,DLST
57282,SLC4A10
3767,KCNJ11
5837,PYGM
8277,TKTL1
245972,ATP6V0D2
125061,AFMID
66002,CYP4F12
51166,AADAT
5139,PDE3A
6610,SMPD2
478,ATP1A3
5730,PTGDS
6515,SLC2A3
90161,HS6ST2
64850,ETNPPL
64080,RBKS
23428,SLC7A8
9653,HS2ST1
6572,SLC18A3
159963,SLC5A12
10246,SLC17A2
275,AMT
6472,SHMT2
8443,GNPAT
212,ALAS2
11046,SLC35D2
178,AGL
1109,AKR1C4
51380,CSAD
441024,MTHFD2L
10606,PAICS
8170,SLC14A2
51181,DCXR
9374,PPT2
1373,CPS1
28976,ACAD9
6530,SLC6A2
1040,CDS1
2592,GALT
6522,SLC4A2
5297,PI4KA
51301,GCNT4
10975,UQCR11
60482,SLC5A7
6240,RRM1
144193,AMDHD1
35,ACADS
26873,OPLAH
2539,G6PD
246,ALOX15
79077,DCTPP1
51477,ISYNA1
4056,LTC4S
5160,PDHA1
2588,GALNS
92745,SLC38A5
7083,TK1
4524,MTHFR
80235,PIGZ
3073,HEXA
1350,COX7C
54872,PIGG
51522,TMEM14C
2590,GALNT2
54576,UGT1A8
256435,ST6GALNAC3
493,ATP2B4
767,CA8
84889,SLC7A3
6799,SULT1A2
175,AGA
23439,ATP1B4
27087,B3GAT1
2585,GALK2
5153,PDE1B
10312,TCIRG1
51251,NT5C3A
1583,CYP11A1
137872,ADHFE1
10599,SLCO1B1
1118,CHIT1
8802,SUCLG1
8566,PDXK
10050,SLC17A4
5351,PLOD1
8898,MTMR2
115,ADCY9
3000,GUCY2D
56548,CHST7
9514,GAL3ST1
127,ADH4
2147,F2
5096,PCCB
51227,PIGP
6546,SLC8A1
5471,PPAT
80150,ASRGL1
2184,FAH
200010,SLC5A9
8789,FBP2
5321,PLA2G4A
501,ALDH7A1
8435,SOAT2
1723,DHODH
6389,SDHA
5034,P4HB
80142,PTGES2
348,APOE
28972,SPCS1
246213,SLC17A8
3614,IMPDH1
3177,SLC29A2
2517,FUCA1
56994,CHPT1
2618,GART
158,ADSL
28232,SLCO3A1
10020,GNE
8228,PNPLA4
2110,ETFDH
377677,CA13
2132,EXT2
1607,DGKB
4199,ME1
65220,NADK
5333,PLCD1
51302,CYP39A1
81579,PLA2G12A
284129,SLC26A11
788,SLC25A20
3421,IDH3G
79901,CYBRD1
79586,CHPF
5152,PDE9A
64772,ENGASE
80055,PGAP1
6649,SOD3
54578,UGT1A6
60490,PPCDC
10423,CDIPT
57818,G6PC2
2974,GUCY1B2
6512,SLC1A7
9187,SLC24A1
6570,SLC18A1
29926,GMPPA
94033,FTMT
10935,PRDX3
5409,PNMT
57733,GBA3
2990,GUSB
120103,SLC36A4
94005,PIGS
1374,CPT1A
6517,SLC2A4
10654,PMVK
3141,HLCS
50814,NSDHL
112,ADCY6
23556,PIGN
5264,PHYH
6539,SLC6A12
15,AANAT
55361,PI4K2A
635,BHMT
4728,NDUFS8
765,CA6
6550,SLC9A3
7350,UCP1
1384,CRAT
5625,PRODH
211,ALAS1
