Gene stable ID	Transcript stable ID
ENSG00000108479	2584
ENSG00000105641	6528
ENSG00000151093	54995
ENSG00000124564	10786
ENSG00000108784	4669
ENSG00000110887	1610
ENSG00000007541	9091
ENSG00000102575	54
ENSG00000100422	64781
ENSG00000124370	84693
ENSG00000112299	8876
ENSG00000112294	7915
ENSG00000100577	2954
ENSG00000142583	6518
ENSG00000048392	50484
ENSG00000198276	54963
ENSG00000157184	1376
ENSG00000151689	3628
ENSG00000198162	10905
ENSG00000056998	8908
ENSG00000167969	1632
ENSG00000131730	1160
ENSG00000134184	2944
ENSG00000079462	5050
ENSG00000142046	641649
ENSG00000242110	23600
ENSG00000183196	4166
ENSG00000147471	11212
ENSG00000154723	522
ENSG00000179958	79077
ENSG00000185015	377677
ENSG00000132437	1644
ENSG00000125779	80025
ENSG00000185624	5034
ENSG00000188687	57835
ENSG00000205560	1375
ENSG00000075651	5337
ENSG00000127472	5322
ENSG00000101365	3420
ENSG00000143727	52
ENSG00000128274	53947
ENSG00000138621	60490
ENSG00000177542	79751
ENSG00000162769	28982
ENSG00000152234	498
ENSG00000243989	95
ENSG00000124003	116255
ENSG00000023572	51022
ENSG00000164414	10559
ENSG00000126267	1340
ENSG00000006757	8228
ENSG00000120697	29880
ENSG00000108242	1562
ENSG00000165349	84889
ENSG00000102393	2717
ENSG00000137198	2766
ENSG00000184076	29796
ENSG00000070614	3340
ENSG00000140287	3067
ENSG00000135517	4284
ENSG00000153086	130013
ENSG00000196136	12
ENSG00000079931	26002
ENSG00000113552	10007
ENSG00000165140	2203
ENSG00000198569	142680
ENSG00000167996	2495
ENSG00000165672	10935
ENSG00000116459	515
ENSG00000166816	197257
ENSG00000112893	4124
ENSG00000119514	79695
ENSG00000101846	412
ENSG00000169418	4881
ENSG00000179477	242
ENSG00000163399	476
ENSG00000001630	1595
ENSG00000118520	383
ENSG00000131100	529
ENSG00000243708	100137049
ENSG00000065154	4942
ENSG00000113163	10087
ENSG00000087086	2512
ENSG00000205309	56953
ENSG00000143845	55224
ENSG00000090054	10558
ENSG00000178035	3615
ENSG00000138109	1559
ENSG00000169105	113189
ENSG00000180011	284273
ENSG00000116157	2882
ENSG00000115339	2591
ENSG00000155897	114
ENSG00000111700	28234
ENSG00000117410	533
ENSG00000167186	10229
ENSG00000075415	5250
ENSG00000160194	4731
ENSG00000131183	6569
ENSG00000162104	115
ENSG00000124067	6560
ENSG00000117643	57134
ENSG00000140400	4123
ENSG00000244474	54657
ENSG00000167280	64772
ENSG00000026652	56895
ENSG00000167701	2875
ENSG00000240303	84129
ENSG00000035687	159
ENSG00000110717	4728
ENSG00000183955	387893
ENSG00000115275	7841
ENSG00000174990	763
ENSG00000168291	5162
ENSG00000008130	65220
ENSG00000011083	6534
ENSG00000139133	84920
ENSG00000133742	759
ENSG00000122971	35
ENSG00000240038	280
ENSG00000159423	8659
ENSG00000157680	9162
ENSG00000171503	2110
ENSG00000187134	1645
ENSG00000172270	682
ENSG00000012660	60481
ENSG00000173221	2745
ENSG00000237289	1159
ENSG00000132164	6538
ENSG00000002726	26
ENSG00000211445	2878
ENSG00000130203	348
ENSG00000172572	5139
ENSG00000141012	2588
ENSG00000198682	9060
ENSG00000145391	80854
ENSG00000177156	6888
ENSG00000151726	2180
ENSG00000171234	7364
ENSG00000143641	2590
ENSG00000198886	4538
ENSG00000183048	1468
ENSG00000101187	28231
ENSG00000091140	1738
ENSG00000198712	4513
ENSG00000198099	127
ENSG00000100075	6576
ENSG00000197241	155184
ENSG00000158850	8703
ENSG00000164708	5224
ENSG00000135821	2752
ENSG00000161714	113026
ENSG00000159899	4882
ENSG00000112499	6582
ENSG00000115556	84812
ENSG00000101911	5634
ENSG00000103150	23417
ENSG00000154930	84532
ENSG00000136267	1607
ENSG00000132423	51805
ENSG00000105205	1178
ENSG00000144278	114805
ENSG00000161896	117283
ENSG00000162813	10380
ENSG00000138413	3417
ENSG00000103064	9057
ENSG00000171885	361
ENSG00000088305	1789
ENSG00000138207	5950
ENSG00000149091	8525
ENSG00000111640	2597
ENSG00000110721	1119
ENSG00000112874	83594
ENSG00000167165	54578
ENSG00000168237	132158
ENSG00000112053	116369
ENSG00000139410	113675
ENSG00000288705	54579
ENSG00000129128	60559
ENSG00000108846	8714
ENSG00000153291	9481
ENSG00000005471	5244
ENSG00000179593	247
ENSG00000186529	4051
ENSG00000123836	5208
ENSG00000170482	9963
ENSG00000167468	2879
ENSG00000141504	112483
ENSG00000118298	23632
ENSG00000114115	5947
ENSG00000114491	7372
ENSG00000141485	284111
ENSG00000106397	8985
ENSG00000128918	8854
ENSG00000114573	523
ENSG00000130414	4705
ENSG00000123505	262
ENSG00000176153	2877
ENSG00000101638	29906
ENSG00000155368	1622
ENSG00000268104	11254
ENSG00000103876	2184
ENSG00000048545	2978
ENSG00000138079	6519
ENSG00000259431	79178
ENSG00000106633	2645
ENSG00000131482	2538
ENSG00000137124	219
ENSG00000112699	2762
ENSG00000067064	3422
ENSG00000205268	5150
ENSG00000188690	7390
ENSG00000151116	55293
ENSG00000145545	6715
ENSG00000171408	27115
ENSG00000185052	57419
ENSG00000186204	66002
ENSG00000074800	2023
ENSG00000059573	5832
ENSG00000112759	2030
ENSG00000147416	526
ENSG00000197838	1553
ENSG00000105835	10135
ENSG00000093217	9942
ENSG00000014257	55
ENSG00000129562	1603
ENSG00000134240	3158
ENSG00000140505	1544
ENSG00000104267	760
ENSG00000148218	210
ENSG00000121039	157506
ENSG00000168350	123099
ENSG00000164039	56898
ENSG00000125356	4694
ENSG00000172940	9390
ENSG00000162407	8613
ENSG00000117305	3155
ENSG00000110955	506
ENSG00000136720	9394
ENSG00000081760	65985
ENSG00000170835	1056
ENSG00000107537	5264
ENSG00000151224	4143
ENSG00000130005	2593
ENSG00000120437	39
ENSG00000100564	5283
ENSG00000084754	3030
ENSG00000078269	8871
ENSG00000168575	6575
ENSG00000135929	1593
ENSG00000005469	54677
ENSG00000196616	125
ENSG00000146733	5723
ENSG00000187758	124
ENSG00000088035	29929
ENSG00000178234	63917
ENSG00000137841	5330
ENSG00000176463	28232
ENSG00000109323	4126
ENSG00000106733	54981
ENSG00000095380	54187
ENSG00000197943	5336
ENSG00000100714	4522
ENSG00000104687	2936
ENSG00000117528	5825
ENSG00000123643	206358
ENSG00000108602	218
ENSG00000111716	3945
ENSG00000163864	349565
ENSG00000130948	3293
ENSG00000135002	55312
ENSG00000133256	5158
ENSG00000138185	953
ENSG00000099624	513
ENSG00000163295	248
ENSG00000119899	26503
ENSG00000051382	5291
ENSG00000160752	2224
ENSG00000197888	7367
ENSG00000125166	2806
ENSG00000214160	10195
ENSG00000109814	7358
ENSG00000087008	8310
ENSG00000159199	516
ENSG00000036530	10858
ENSG00000198743	6526
ENSG00000213930	2592
ENSG00000119421	4702
ENSG00000197165	6799
ENSG00000140284	11001
ENSG00000166183	374569
ENSG00000100031	2678
ENSG00000068383	3632
ENSG00000131055	84701
ENSG00000140090	123041
ENSG00000175198	5095
ENSG00000181045	284129
ENSG00000164347	84340
ENSG00000128609	4698
ENSG00000033100	54480
ENSG00000160216	56894
ENSG00000155252	55361
ENSG00000156110	132
ENSG00000161533	51
ENSG00000136143	8803
ENSG00000087157	9489
ENSG00000198488	192134
ENSG00000117143	6675
ENSG00000102780	160851
ENSG00000241468	9551
ENSG00000147155	10682
ENSG00000198938	4514
ENSG00000130377	81616
ENSG00000166165	1152
ENSG00000166228	5092
ENSG00000171848	6241
ENSG00000181915	84890
ENSG00000008311	10157
ENSG00000187091	5333
ENSG00000162066	51005
ENSG00000256269	3145
ENSG00000102144	5230
ENSG00000013392	112611
ENSG00000108439	55163
ENSG00000117069	81849
ENSG00000011405	5286
ENSG00000124568	6568
ENSG00000162694	2135
ENSG00000125255	6555
ENSG00000100522	64841
ENSG00000174951	2523
ENSG00000159063	79053
ENSG00000091137	5172
ENSG00000170385	7779
ENSG00000165195	5277
ENSG00000071967	79901
ENSG00000141744	5409
ENSG00000100678	6547
ENSG00000173175	111
ENSG00000173868	162466
ENSG00000163655	8833
ENSG00000153976	9955
ENSG00000161798	362
ENSG00000115665	60482
ENSG00000117411	8704
ENSG00000153936	9653
ENSG00000116171	6342
ENSG00000073417	5151
ENSG00000174640	6578
ENSG00000132837	29958
ENSG00000124181	5335
ENSG00000140297	9245
ENSG00000160471	125965
ENSG00000068366	2182
ENSG00000164089	64850
ENSG00000061918	2983
ENSG00000110719	10312
ENSG00000115652	80146
ENSG00000156885	1339
ENSG00000069535	4129
ENSG00000250565	90423
ENSG00000184227	641371
ENSG00000004939	6521
ENSG00000160870	1551
ENSG00000117054	34
ENSG00000100253	55586
ENSG00000099795	4713
ENSG00000117479	10560
ENSG00000168906	4144
ENSG00000111713	2998
ENSG00000088451	23483
ENSG00000065833	4199
ENSG00000117461	8503
ENSG00000136872	229
ENSG00000074803	6557
ENSG00000160191	5152
ENSG00000196511	27010
ENSG00000183696	7378
ENSG00000138193	51196
ENSG00000122884	5033
ENSG00000100292	3162
ENSG00000090020	6548
ENSG00000124155	51604
ENSG00000168282	4247
ENSG00000058668	493
ENSG00000198814	2710
ENSG00000107317	5730
ENSG00000158467	23382
ENSG00000249853	222537
ENSG00000143774	2987
ENSG00000131143	1327
ENSG00000131069	55902
ENSG00000158125	7498
ENSG00000170890	5319
ENSG00000128242	9514
ENSG00000116748	270
ENSG00000171759	5053
ENSG00000138604	26035
ENSG00000109193	6783
ENSG00000174227	54872
ENSG00000153574	22934
ENSG00000234906	344
ENSG00000213759	10720
ENSG00000171793	1503
ENSG00000160209	8566
ENSG00000128059	5471
ENSG00000123739	81579
ENSG00000142892	10026
ENSG00000181090	79813
ENSG00000167434	762
ENSG00000158089	79623
ENSG00000101276	113278
ENSG00000149925	226
